2022-05-26 18:02:51.501 [background-preinit] INFO  org.hibernate.validator.internal.util.Version - HV000001: Hibernate Validator 6.1.7.Final
2022-05-26 18:02:51.529 [main] INFO  org.hj.chain.platform.HjPlatformCoreApplication - Starting HjPlatformCoreApplication using Java 1.8.0_331 on HSPC-D10001 with PID 10812 (F:\ideaProjects\hj-platform-parent\hj-platform-core\target\classes started by Administrator in F:\ideaProjects\hj-platform-parent)
2022-05-26 18:02:51.531 [main] INFO  org.hj.chain.platform.HjPlatformCoreApplication - The following profiles are active: test
2022-05-26 18:02:54.089 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2022-05-26 18:02:54.093 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2022-05-26 18:02:54.215 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 95 ms. Found 0 Redis repository interfaces.
2022-05-26 18:02:55.062 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'spring.datasource.dynamic-com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceProperties] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-26 18:02:55.063 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration' of type [com.baomidou.dynamic.datasource.spring.boot.autoconfigure.DynamicDataSourceAutoConfiguration$$EnhancerBySpringCGLIB$$b0edbaec] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-26 18:02:55.079 [main] INFO  o.s.c.s.PostProcessorRegistrationDelegate$BeanPostProcessorChecker - Bean 'dsProcessor' of type [com.baomidou.dynamic.datasource.processor.DsHeaderProcessor] is not eligible for getting processed by all BeanPostProcessors (for example: not eligible for auto-proxying)
2022-05-26 18:02:55.587 [main] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8090 (http)
2022-05-26 18:02:55.607 [main] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8090"]
2022-05-26 18:02:55.608 [main] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
2022-05-26 18:02:55.608 [main] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.45]
2022-05-26 18:02:55.613 [main] INFO  org.apache.catalina.core.AprLifecycleListener - An older version [1.2.18] of the Apache Tomcat Native library is installed, while Tomcat recommends a minimum version of [1.2.23]
2022-05-26 18:02:55.613 [main] INFO  org.apache.catalina.core.AprLifecycleListener - Loaded Apache Tomcat Native library [1.2.18] using APR version [1.6.5].
2022-05-26 18:02:55.613 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR capabilities: IPv6 [true], sendfile [true], accept filters [false], random [true].
2022-05-26 18:02:55.614 [main] INFO  org.apache.catalina.core.AprLifecycleListener - APR/OpenSSL configuration: useAprConnector [false], useOpenSSL [true]
2022-05-26 18:02:55.644 [main] INFO  org.apache.catalina.core.AprLifecycleListener - OpenSSL successfully initialized [OpenSSL 1.1.1  11 Sep 2018]
2022-05-26 18:02:55.918 [main] INFO  o.a.c.c.ContainerBase.[Tomcat].[localhost].[/api] - Initializing Spring embedded WebApplicationContext
2022-05-26 18:02:55.918 [main] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 4307 ms
2022-05-26 18:02:57.674 [main] INFO  com.alibaba.druid.pool.DruidDataSource - {dataSource-1,organ} inited
